date,home_team,away_team,home_score,away_score,home_lineup,away_lineup
4-8-2017,Monaco ,Toulouse FC ,3,2,"['Danijel Subasic', 'Kamil Glik', 'Jemerson', 'Jorge', 'Djibril Sidibé', 'João Moutinho', 'Fabinho', 'Rony Lopes', 'Thomas Lemar', 'Radamel Falcao', 'Kylian Mbappé']","['Alban Lafont', 'Steeve Yago', 'Christopher Jullien', 'Kelvin Amian', 'François Moubandje', 'Alexis Blin', 'Zinédine Machach', 'Ibrahim Sangaré', 'Jimmy Durmaz', 'Andy Delort', 'Corentin Jean']"
5-8-2017,Paris S-G ,Amiens ,2,0,"['Alphonse Areola', 'Thiago Silva', 'Marquinhos', 'Dani Alves', 'Layvin Kurzawa', 'Thiago Motta', 'Marco Verratti', 'Adrien Rabiot', 'Ángel Di María', 'Javier Pastore', 'Edinson Cavani']","['Régis Gurtner', 'Khaled Adenon', 'Prince-Désir Gouano', 'Mathieu Bodmer', 'Oualid El Hajjam', 'Issa Cissokho', 'Thomas Monconduit', 'Tanguy Ndombele', 'Guessouma Fofana', 'Harisson Manzala', 'Bachibou Koita']"
5-8-2017,Lyon ,Strasbourg ,4,0,"['Anthony Lopes', 'Marcelo', 'Jérémy Morel', 'Rafael', 'Marçal', 'Lucas Tousart', 'Sergi Darder', 'Mariano', 'Bertrand Traoré', 'Nabil Fekir', 'Memphis Depay']","['Bingourou Kamara', 'Kader Mangane', 'Pablo Martinez', 'Yoann Salmier', 'Kenny Lala', 'Jonas Martin', 'Jean-Eudes Aholou', 'Dimitri Liénard', 'Benjamin Corgnet', 'Idriss Saadi', 'Nuno Da Costa']"
5-8-2017,Metz ,Guingamp ,1,3,"['Thomas Didillon', 'Fallou Diagne', 'Iván Balliu', 'Milan Bisevac', 'Simon Falette', 'Benoît Assou-Ekotto', 'Gerónimo Poblete', 'Renaud Cohade', 'Gauthier Hein', 'Yann Jouffre', 'Nolan Roux']","['Karl-Johan Johnsson', 'Christophe Kerbrat', 'Jérémy Sorbon', 'Jordan Ikoko', 'Pedro Rebocho', 'Lebogang Phiri', 'Lucas Deaux', 'Abdoul Camara', 'Marcus Coco', 'Yannis Salibur', 'Jimmy Briand']"
5-8-2017,Montpellier ,Caen ,1,0,"['Benjamin Lecomte', 'Daniel Congré', 'Pedro Mendes', 'Jérôme Roussillon', 'Nordi Mukiele', 'Paul Lasne', 'Ellyes Skhiri', 'Jonathan Ikoné', 'Kevin Bérigaud', 'Souleymane Camara', 'Isaac Mbenza']","['Rémy Vercoutre', 'Romain Genevois', 'Alexander Djiku', 'Frédéric Guilbert', 'Durel Avounou', 'Jonathan Delaplace', 'Julien Féret', 'Ronny Rodelin', 'Hervé Bazile', 'Vincent Bessat', 'Ivan Santini']"
5-8-2017,Saint-Etienne ,Nice ,1,0,"['Stéphane Ruffier', 'Loïc Perrin', 'K. Théophile-Catherine', 'Saidy Janko', 'Ronaël Pierre-Gabriel', 'Assane Dioussé', 'Ole Selnaes', 'Bryan Dabo', 'Romain Hamouma', 'Jonathan Bamba', 'Oussama Tannane']","['Yoan Cardinale', 'Maxime Le Marchand', 'Dante', 'Malang Sarr', 'Arnaud Souquet', 'Rémi Walter', 'Vincent Koziello', 'Pierre Lees-Melou', 'Valentin Eysseric', 'Bassem Srarfi', 'Alassane Pléa']"
5-8-2017,ESTAC Troyes ,Rennes ,1,1,"['Mamadou Samassa', 'Oswaldo Vizcarrondo', 'Christophe Hérelle', 'Johann Obiang', 'Mathieu Deplagne', 'Tristan Dingomé', 'Karim Azamoum', 'Samuel Grandsir', 'Benjamin Nivet', 'Stéphane Darbion', 'Adama Niane']","['Abdoulaye Diallo', 'Joris Gnagnon', 'Faitout Maouassa', 'Ludovic Baal', 'Hamari Traoré', 'Ramy Bensebaini', 'Benjamin André', 'Benjamin Bourigeaud', 'Adrien Hunou', 'Firmin Mubele', 'Ismaïla Sarr']"
6-8-2017,Lille ,Nantes ,3,0,"['Mike Maignan', 'Ibrahim Amadou', 'Edgar Ié', 'Junior Alonso', 'Fodé Ballo-Touré', 'Kévin Malcuit', 'Thiago Mendes', 'Nicolas de Préville', 'Anwar El Ghazi', 'Yassine Benzia', 'Luiz Araujo']","['Maxime Dupé', 'Koffi Djidji', 'Nicolas Pallois', 'Diego Carlos', 'Léo Dubois', 'Abdoulaye Touré', 'Valentin Rongier', 'Jules Iloki', 'Alex Kacaniklic', 'Préjuce Nakoulma', 'Emiliano Sala']"
6-8-2017,Angers ,Bordeaux ,2,2,"['Alexandre Letellier', 'Ismaël Traoré', 'Romain Thomas', 'Vincent Manceau', 'Lassana Coulibaly', 'Thomas Mangani', 'Baptiste Santamaria', 'Angelo Fulgini', 'Pierrick Capelle', 'Gilles Sunu', 'Baptiste Guillaume']","['Benoît Costil', 'Jérémy Toulalan', 'Vukasin Jovanovic', 'Youssouf Sabaly', 'Théo Pellenard', 'Younousse Sankharé', 'Lukas Lerager', 'Valentín Vada', 'Malcom', 'Alexandre Mendy', 'François Kamano']"
6-8-2017,Marseille ,Dijon ,3,0,"['Steve Mandanda', 'Adil Rami', 'Rolando', 'Patrice Evra', 'Hiroki Sakai', 'Luiz Gustavo', 'Morgan Sanson', 'Maxime Lopez', 'Dimitri Payet', 'Florian Thauvin', 'Valère Germain']","['Baptiste Reynet', 'Wesley Lautoa', 'Cédric Yambéré', 'Oussama Haddadi', 'Valentin Rosier', 'Romain Amalfitano', 'Jordan Marié', 'Naïm Sliti', 'Wesley Saïd', 'Benjamin Jeannot', 'Chang-hoon Kwon']"
