date,home_team,away_team,home_score,away_score,home_lineup,away_lineup
19.2.2015,Celtic,Inter,3,3,"Craig Gordon, Adam Matthews, Emilio Izaguirre, Virgil van Dijk, Nir Bitton, Scott Brown, Stuart Armstrong, Gary Mackay-Steven, Jason Denayer, Stefan Johansen, Leigh Griffiths","Juan Pablo Carrizo, Juan Jesus, Rodrigo Palacio, Mauro Icardi, Fredy Guarin, Hugo Campagnaro, Zdravko Kuzmanovic, Gary Medel, Davide Santon, Andrea Ranocchia, Xherdan Shaqiri"
19.2.2015,Tottenham,Fiorentina,1,1,"Hugo Lloris, Kyle Walker, Jan Vertonghen, Paulinho, Roberto Soldado, Andros Townsend, Federico Fazio, Nacer Chadli, Christian Eriksen, Ben Davies, Nabil Bentaleb","Ciprian Tatarusanu, Gonzalo Rodriguez, David Pizarro, Matias Fernandez, Stefan Savic, Joaquin, Jose Maria Basanta, Borja Valero, Manuel Pasqual, Mario Gomez, Mohamed Salah"
19.2.2015,Liverpool,Beşiktaş,1,0,"Simon Mignolet, Philippe Coutinho, Jordan Henderson, Daniel Sturridge, Mamadou Sakho, Alberto Moreno, Adam Lallana, Emre Can, Joe Allen, Jordon Ibe, Martin Skrtel","Cenk Gonen, Serdar Kurtulus, Jose Sosa, Gokhan Tore, Veli Kavlak, Demba Ba, Olcay Sahan, Atiba Hutchinson, Pedro Franco, Ersan Gulum, Ramon Motta"
19.2.2015,Villarreal,Salzburg,2,1,"Sergio Asenjo, Mario Gaspar, Tomas Pina, Mateo Musacchio, Jonathan dos Santos, Luciano Vietto, Ikechukwu Uche, Manu Trigueros, Victor Ruiz, Denis Cheryshev, Jaume Costa","Peter Gulacsi, Andre Ramalho, Christian Schwegler, Marcel Sabitzer, Marco Djuricin, Stefan Ilsanker, Andreas Ulmer, Christoph Leitgeb, Jonatan Soriano, Martin Hinteregger, Massimo Bruno"
19.2.2015,Guingamp,Dynamo Kyiv,2,1,"Jonas Lossl, Lars Jacobsen, Dorian Leveque, Younousse Sankhare, Claudio Beauvue, Christophe Mandanne, Jeremy Sorbon, Lionel Mathis, Jeremy Pied, Sambou Yatabare, Christophe Kerbrat","Olexandr Shovkovskiy, Danilo Silva, Miguel Veloso, Antunes, Aleksandar Dragovic, Jeremain Lens, Andriy Yarmolenko, Serhiy Sydorchuk, Serhiy Rybalka, Artem Kravets, Domagoj Vida"
19.2.2015,Anderlecht,Dynamo Moscow,0,0,"Silvio Proto, ""Fabrice NSakala"", Olivier Deschacht, Andy Najar, Rolando, Steven Defour, Frank Acheampong, Youri Tielemans, Leander Dendoncker, Anthony Vanden Borre, Aleksandar Mitrovic","Vladimir Gabulov, Alexander Buttner, Christopher Samba, William Vainqueur, Balazs Dzsudzsak, Artur Iusupov, Aleksandr Kokorin, Mathieu Valbuena, Tomas Hubocan, Kevin Kuranyi, Aleksei Kozlov"
19.2.2015,Ajax,Legia,1,0,"Jasper Cillessen, Ricardo van Rhijn, Nicolai Boilesen, Mike van der Hoorn, Davy Klaassen, Ricardo Kishna, Arkadiusz Milik, Anwar El Ghazi, Thulani Serero, Nick Viergever, Riechedly Bazoer","Dusan Kuciak, Dossa Junior, Tomasz Jodowiec, Guilherme, Micha Masowski, Micha Kucharczyk, Ivica Vrdoljak, Jakub Rzezniczak, ukasz Broz, Micha Zyro, Orlando Sa"
19.2.2015,Sevilla,Mönchengladbach,1,0,"Sergio Rico, Fernando Navarro, Grzegorz Krychowiak, Daniel Carrico, Carlos Bacca, Jose Antonio Reyes, Vicente Iborra, Ever Banega, Vitolo, Nicolas Pareja, Aleix Vidal","Yann Sommer, Raffael, Alvaro Dominguez, Oscar Wendt, Fabian Johnson, Christoph Kramer, Tony Jantschke, Thorgan Hazard, Branimir Hrgota, Granit Xhaka, Martin Stranzl"
19.2.2015,PSV,Zenit,0,1,"Jeroen Zoet, Nicolas Isimat-Mirin, Santiago Arias, Jeffrey Bruma, Memphis Depay, Luuk De Jong, Georginio Wijnaldum, Luciano Narsingh, Jetro Willems, Andres Guardado, Oscar Hiljemark","Yuri Lodygin, Domenico Criscito, Hulk, Luis Neto, Oleg Shatov, Igor Smolnikov, Javi Garcia, Jose Rondon, Ezequiel Garay, Axel Witsel, Danny"
19.2.2015,Roma,Feyenoord,1,1,"ukasz Skorupski, Mapou Yanga-Mbiwa, Radja Nainggolan, Francesco Totti, Miralem Pjanic, Daniele De Rossi, Jose Holebas, Gervinho, Vasilis Torosidis, Kostas Manolas, Daniele Verde","Kenneth Vermeer, Luke Wilkshire, Terence Kongolo, Jordy Clasie, Karim El Ahmadi, Lex Immers, Colin Kazm Richards, Miquel Nelom, Tonny Vilhena, Khalid Boulahrouz, Jens Toornstra"
19.2.2015,Trabzonspor,Napoli,0,4,"Hakan Arkan, Jose Bosingwa, Aykut Demir, Carl Medjani, Oscar Cardozo, Soner Aydogdu, Sefa Ylmaz, Ozer Hurmac, Fatih Atik, Ishak Dogan, Erkan Zengin","Mariano Andujar, Henrique, Jonathan de Guzman, Gonzalo Higuain, Dries Mertens, Manolo Gabbiadini, Kalidou Koulibaly, Faouzi Ghoulam, Raul Albiol, Walter Gargano, Gokhan Inler"
19.2.2015,Dnipro,Olympiacos,2,0,"Denys Boyko, Egidio, Jaba Kankava, Yevhen Konoplyanka, Yevhen Cheberyachko, Roman Zozulya, Roman Bezus, Douglas, Valeriy Luchkevych, Ruslan Rotan, Matheus","Roberto, Giannis Maniatis, Ibrahim Afellay, Kostas Mitroglou, Alejandro Dominguez, Pajtim Kasami, Omar Elabdellaoui, Dimitris Siovas, Arthur Masuaku, Felipe Santana, Mathieu Dossevi"
26.2.2015,Feyenoord,Roma,1,2,"Kenneth Vermeer, Terence Kongolo, Jordy Clasie, Karim El Ahmadi, Colin Kazm Richards, Miquel Nelom, Tonny Vilhena, Sven van Beek, Khalid Boulahrouz, Rick Karsdorp, Jens Toornstra","ukasz Skorupski, Mapou Yanga-Mbiwa, Adem Ljajic, Francesco Totti, Miralem Pjanic, Daniele De Rossi, Seydou Keita, Jose Holebas, Gervinho, Vasilis Torosidis, Kostas Manolas"
26.2.2015,Napoli,Trabzonspor,1,0,"Rafael Cabral, Henrique, Miguel Britos, Jonathan de Guzman, Jose Callejon, Jorginho, Gonzalo Higuain, Dries Mertens, Giandomenico Mesto, Faouzi Ghoulam, Gokhan Inler","Hakan Arkan, Jose Bosingwa, Aykut Demir, Mehmet Ekici, Carl Medjani, Oscar Cardozo, Ozer Hurmac, Salih Dursun, Fatih Atik, Ishak Dogan, Erkan Zengin"
26.2.2015,Olympiacos,Dnipro,2,2,"Roberto, Luka Milivojevic, Ibrahim Afellay, Kostas Mitroglou, Jimmy Durmaz, Alejandro Dominguez, Pajtim Kasami, Omar Elabdellaoui, Dimitris Siovas, Arthur Masuaku, Felipe Santana","Denys Boyko, Egidio, Jaba Kankava, Yevhen Konoplyanka, Yevhen Cheberyachko, Roman Zozulya, Douglas, Valeriy Fedorchuk, Ruslan Rotan, Artem Fedetskiy, Matheus"
26.2.2015,Club Brugge,AaB,3,0,"Mathew Ryan, Davy De Fauw, Timmy Simons, Oscar Duarte, Victor Vazquez, Lior Refaelov, Thomas Meunier, Ruud Vormer, Brandon Mechele, Obbi Oulare, Boli Bolingoli","Nicolai Larsen, Patrick Kristensen, Kenneth Emil Petersen, Thomas Enevoldsen, Rasmus Wurtz, Nicklas Helenius, Henrik Dalsgaard, Kasper Risgard, Nicolaj Thomsen, Rasmus Thelander, Andreas Bruhn"
26.2.2015,Sporting CP,Wolfsburg,0,0,"Rui Patricio, William Carvalho, Joao Mario, Andre Carrillo, Junya Tanaka, Adrien Silva, Paulo Oliveira, Jonathan Silva, Cedric, Tobias Figueiredo, Nani","Diego Benaglio, Vieirinha, Bas Dost, Kevin De Bruyne, Christian Trasch, Andre Schurrle, Luiz Gustavo, Josuha Guilavogui, Naldo, Robin Knoche, Ricardo Rodriguez"
26.2.2015,Athletic Club,Torino,2,3,"Iago Herrerin, Aymeric Laporte, Mikel San Jose, Benat Etxebarria, Oscar de Marcos, Andoni Iraola, Xabier Etxeita, Mikel Rico, Carlos Gurpegi, Iker Muniain, Aritz Aduriz","Daniele Padelli, Cristian Molinaro, Omar El Kaddouri, Maxi Lopez, Alessandro Gazzi, Nikola Maksimovic, Giuseppe Vives, Emiliano Moretti, Kamil Glik, Fabio Quagliarella, Matteo Darmian"
26.2.2015,Everton,Young Boys,3,1,"Tim Howard, Darron Gibson, Phil Jagielka, Romelu Lukaku, Kevin Mirallas, Steven Naismith, James McCarthy, Gareth Barry, Seamus Coleman, Luke Garbutt, Antolin Alcaraz","Marco Wolfli, Milan Vilotic, Leonardo Bertone, Jan Lecjaks, Gonzalo Zarate, Alain Rochat, Scott Sutter, Raphael Nuzzolo, Yuya Kubo, Sekou Sanogo, Guillaume Hoarau"
26.2.2015,Inter,Celtic,1,0,"Juan Pablo Carrizo, Juan Jesus, Rodrigo Palacio, Mauro Icardi, Fredy Guarin, Gary Medel, Davide Santon, Andrea Ranocchia, ""Danilo DAmbrosio"", Hernanes, Xherdan Shaqiri","Craig Gordon, Adam Matthews, Emilio Izaguirre, Virgil van Dijk, Nir Bitton, Scott Brown, John Guidetti, Stuart Armstrong, Gary Mackay-Steven, Jason Denayer, Stefan Johansen"
26.2.2015,Fiorentina,Tottenham,2,0,"Neto, Micah Richards, Milan Badelj, David Pizarro, Matias Fernandez, Stefan Savic, Joaquin, Jose Maria Basanta, Marcos Alonso, Mario Gomez, Mohamed Salah","Hugo Lloris, Jan Vertonghen, Vlad Chiriches, Roberto Soldado, Erik Lamela, Federico Fazio, Nacer Chadli, Christian Eriksen, Benjamin Stambouli, Ben Davies, Nabil Bentaleb"
26.2.2015,Beşiktaş,Liverpool,1,0,"Cenk Gonen, Serdar Kurtulus, Jose Sosa, Gokhan Tore, Veli Kavlak, Demba Ba, Olcay Sahan, Atiba Hutchinson, Pedro Franco, Necip Uysal, Daniel Opare","Simon Mignolet, Kolo Toure, Dejan Lovren, Daniel Sturridge, Alberto Moreno, Emre Can, Joe Allen, Raheem Sterling, Jordon Ibe, Martin Skrtel, Mario Balotelli"
12.3.2015,Fiorentina,Roma,1,1,"Neto, Gonzalo Rodriguez, Milan Badelj, David Pizarro, Joaquin, Jose Maria Basanta, Borja Valero, Marcos Alonso, Nenad Tomovic, Josip Ilicic, Mohamed Salah","ukasz Skorupski, Mapou Yanga-Mbiwa, Radja Nainggolan, Juan Iturbe, Adem Ljajic, Daniele De Rossi, Seydou Keita, Alessandro Florenzi, Jose Holebas, Vasilis Torosidis, Kostas Manolas"
12.3.2015,Napoli,Dynamo Moscow,3,1,"Mariano Andujar, Henrique, Miguel Britos, Jonathan de Guzman, Jose Callejon, Jorginho, Gonzalo Higuain, Dries Mertens, Kalidou Koulibaly, Faouzi Ghoulam, Gokhan Inler","Vladimir Gabulov, Christopher Samba, William Vainqueur, Balazs Dzsudzsak, Aleksandr Kokorin, Mathieu Valbuena, Tomas Hubocan, Yuri Zhirkov, Kevin Kuranyi, Aleksei Kozlov, Roman Zobnin"
12.3.2015,Villarreal,Sevilla,1,3,"Sergio Asenjo, Mario Gaspar, Mateo Musacchio, Jonathan dos Santos, Luciano Vietto, Ikechukwu Uche, Manu Trigueros, Denis Cheryshev, Jaume Costa, Moi Gomez, Eric Bailly","Sergio Rico, Benoit Tremoulinas, Grzegorz Krychowiak, Diogo Figueiras, Daniel Carrico, Kevin Gameiro, Vicente Iborra, Vitolo, Nicolas Pareja, Aleix Vidal, Stephane Mbia"
12.3.2015,Everton,Dynamo Kyiv,2,1,"Tim Howard, Phil Jagielka, Romelu Lukaku, Kevin Mirallas, Steven Naismith, James McCarthy, Gareth Barry, Ross Barkley, Seamus Coleman, Luke Garbutt, Antolin Alcaraz","Olexandr Shovkovskiy, Danilo Silva, Miguel Veloso, Antunes, Aleksandar Dragovic, Andriy Yarmolenko, Serhiy Sydorchuk, Oleh Gusev, Domagoj Vida, Vitaliy Buyalskiy, Dieumerci Mbokani"
12.3.2015,Club Brugge,Beşiktaş,2,1,"Mathew Ryan, Davy De Fauw, Timmy Simons, Oscar Duarte, Lior Refaelov, Tom De Sutter, Thomas Meunier, Ruud Vormer, Laurens De Bock, Brandon Mechele, Boli Bolingoli","Cenk Gonen, Serdar Kurtulus, Gokhan Tore, Veli Kavlak, Demba Ba, Olcay Sahan, Oguzhan Ozyakup, Tolgay Arslan, Necip Uysal, Ersan Gulum, Daniel Opare"
12.3.2015,Wolfsburg,Inter,3,1,"Diego Benaglio, Daniel Caligiuri, Vieirinha, Bas Dost, Kevin De Bruyne, Andre Schurrle, Luiz Gustavo, Josuha Guilavogui, Naldo, Robin Knoche, Ricardo Rodriguez","Juan Pablo Carrizo, Juan Jesus, Rodrigo Palacio, Mauro Icardi, Fredy Guarin, Gary Medel, Davide Santon, Andrea Ranocchia, ""Danilo DAmbrosio"", Hernanes, Xherdan Shaqiri"
12.3.2015,Dnipro,Ajax,1,0,"Denys Boyko, Egidio, Yevhen Konoplyanka, Yevhen Seleznyov, Yevhen Cheberyachko, Roman Zozulya, Roman Bezus, Douglas, Valeriy Fedorchuk, Ruslan Rotan, Artem Fedetskiy","Jasper Cillessen, Ricardo van Rhijn, Joel Veltman, Nicolai Boilesen, Davy Klaassen, Arkadiusz Milik, Lasse Schone, Anwar El Ghazi, Thulani Serero, Nick Viergever, Riechedly Bazoer"
12.3.2015,Zenit,Torino,2,0,"Yuri Lodygin, Domenico Criscito, Hulk, Luis Neto, Oleg Shatov, Igor Smolnikov, Javi Garcia, Jose Rondon, Ezequiel Garay, Axel Witsel, Danny","Daniele Padelli, Cristian Molinaro, Omar El Kaddouri, Alessandro Gazzi, Josef Martinez, Nikola Maksimovic, Emiliano Moretti, Kamil Glik, Fabio Quagliarella, Matteo Darmian, Marco Benassi"
19.3.2015,Beşiktaş,Club Brugge,1,3,"Tolga Zengin, Gokhan Tore, Veli Kavlak, Demba Ba, Olcay Sahan, Mustafa Pektemek, Tolgay Arslan, Pedro Franco, Necip Uysal, Ramon Motta, Daniel Opare","Mathew Ryan, Davy De Fauw, Timmy Simons, Oscar Duarte, Lior Refaelov, Tom De Sutter, Thomas Meunier, Jose Izquierdo, Ruud Vormer, Laurens De Bock, Brandon Mechele"
19.3.2015,Sevilla,Villarreal,2,1,"Sergio Rico, Benoit Tremoulinas, Diogo Figueiras, Daniel Carrico, Kevin Gameiro, Vicente Iborra, Timothee Kolodziejczak, Vitolo, Nicolas Pareja, Aleix Vidal, Stephane Mbia","Sergio Asenjo, Mario Gaspar, Tomas Pina, Mateo Musacchio, Jonathan dos Santos, Luciano Vietto, Ikechukwu Uche, Manu Trigueros, Antonio Rukavina, Joel Campbell, Eric Bailly"
19.3.2015,Inter,Wolfsburg,1,2,"Juan Pablo Carrizo, Juan Jesus, Rodrigo Palacio, Mauro Icardi, Mateo Kovacic, Fredy Guarin, Hugo Campagnaro, Gary Medel, Davide Santon, Andrea Ranocchia, Hernanes","Diego Benaglio, Timm Klose, Daniel Caligiuri, Vieirinha, Bas Dost, Kevin De Bruyne, Christian Trasch, Luiz Gustavo, Josuha Guilavogui, Robin Knoche, Ricardo Rodriguez"
19.3.2015,Torino,Zenit,1,0,"Daniele Padelli, Cristian Molinaro, Omar El Kaddouri, Alexander Farnerud, Maxi Lopez, Alessandro Gazzi, Nikola Maksimovic, Emiliano Moretti, Kamil Glik, Fabio Quagliarella, Matteo Darmian","Yuri Lodygin, Domenico Criscito, Hulk, Luis Neto, Oleg Shatov, Igor Smolnikov, Jose Rondon, Ezequiel Garay, Axel Witsel, Danny, Anatoliy Tymoshchuk"
