date,home_team,away_team,home_score,away_score,home_lineup,away_lineup
17-2-2015,Shakhtar Donetsk,Bayern,['0'],['0'],"['Andriy Pyatov', 'Olexandr Kucher', 'Fred', 'Luiz Adriano', 'Vyacheslav Shevchuk', 'Fernando', 'Douglas Costa', 'Taison', 'Alex Teixeira Santos', 'Darijo Srna', ""Yaroslav Rakits'kyy""]","['Manuel Neuer', 'Xabi Alonso', 'Franck Ribéry', 'Arjen Robben', 'Rafinha', 'Jérôme Boateng', 'Juan Bernat', 'Mario Götze', 'Thomas Müller', 'David Alaba', 'Bastian Schweinsteiger']"
17-2-2015,Paris,Chelsea,['1'],['1'],"['Salvatore Sirigu', 'Thiago Silva', 'Marquinhos', 'Edinson Cavani', 'Zlatan Ibrahimović', 'Blaise Matuidi', 'Maxwell', 'Ezequiel Lavezzi', 'Gregory van der Wiel', 'Marco Verratti', 'David Luiz']","['Thibaut Courtois', 'Branislav Ivanović', 'Cesc Fàbregas', 'Ramires', 'Eden Hazard', 'Diego Costa', 'Nemanja Matić', 'Willian', 'Gary Cahill', 'John Terry', 'César Azpilicueta']"
18-2-2015,Schalke,Real Madrid,['0'],['2'],"['Timon Wellenreuther', 'Benedikt Höwedes', 'Kevin-Prince Boateng', 'Marco Höger', 'Eric Maxim Choupo-Moting', 'Dennis Aogo', 'Atsuto Uchida', 'Klaas Jan Huntelaar', 'Matija Nastasić', 'Joël Matip', 'Roman Neustädter']","['Iker Casillas', 'Raphaël Varane', 'Pepe', 'Cristiano Ronaldo', 'Toni Kroos', 'Karim Benzema', 'Gareth Bale', 'Marcelo', 'Dani Carvajal', 'Lucas Silva', 'Isco']"
18-2-2015,Basel,Porto,['1'],['1'],"['Tomáš Vaclík', 'Walter Samuel', 'Luca Zuffi', 'Marco Streller', 'Shkëlzen Gashi', 'Marek Suchý', 'Behrang Safari', 'Fabian Frei', 'Derlis González', 'Mohamed Elneny', 'Taulant Xhaka']","['Fabiano', 'Danilo', 'Maicon', 'Iván Marcano', 'Casemiro', 'Yacine Brahimi', 'Jackson Martínez', 'Cristian Tello', 'Héctor Herrera', 'Alex Sandro', 'Óliver Torres']"
19-2-2015,Celtic,Inter,['3'],['3'],"['Craig Gordon', 'Adam Matthews', 'Emilio Izaguirre', 'Virgil van Dijk', 'Nir Bitton', 'Scott Brown', 'Stuart Armstrong', 'Gary Mackay-Steven', 'Jason Denayer', 'Stefan Johansen', 'Leigh Griffiths']","['Juan Pablo Carrizo', 'Juan Jesus', 'Rodrigo Palacio', 'Mauro Icardi', 'Fredy Guarín', 'Hugo Campagnaro', 'Zdravko Kuzmanović', 'Gary Medel', 'Davide Santon', 'Andrea Ranocchia', 'Xherdan Shaqiri']"
19-2-2015,Tottenham,Fiorentina,['1'],['1'],"['Hugo Lloris', 'Kyle Walker', 'Jan Vertonghen', 'Paulinho', 'Roberto Soldado', 'Andros Townsend', 'Federico Fazio', 'Nacer Chadli', 'Christian Eriksen', 'Ben Davies', 'Nabil Bentaleb']","['Ciprian Tătăruşanu', 'Gonzalo Rodríguez', 'David Pizarro', 'Matías Fernández', 'Stefan Savić', 'Joaquín', 'José María Basanta', 'Borja Valero', 'Manuel Pasqual', 'Mario Gomez', 'Mohamed Salah']"
19-2-2015,Liverpool,Beşiktaş,['1'],['0'],"['Simon Mignolet', 'Philippe Coutinho', 'Jordan Henderson', 'Daniel Sturridge', 'Mamadou Sakho', 'Alberto Moreno', 'Adam Lallana', 'Emre Can', 'Joe Allen', 'Jordon Ibe', 'Martin Škrtel']","['Cenk Gönen', 'Serdar Kurtuluş', 'José Sosa', 'Gökhan Töre', 'Veli Kavlak', 'Demba Ba', 'Olcay Şahan', 'Atiba Hutchinson', 'Pedro Franco', 'Ersan Gülüm', 'Ramon Motta']"
19-2-2015,Villarreal,Salzburg,['2'],['1'],"['Sergio Asenjo', 'Mario Gaspar', 'Tomás Pina', 'Mateo Musacchio', 'Jonathan dos Santos', 'Luciano Vietto', 'Ikechukwu Uche', 'Manu Trigueros', 'Víctor Ruiz', 'Denis Cheryshev', 'Jaume Costa']","['Péter Gulácsi', 'André Ramalho', 'Christian Schwegler', 'Marcel Sabitzer', 'Marco Djuricin', 'Stefan Ilsanker', 'Andreas Ulmer', 'Christoph Leitgeb', 'Jonatan Soriano', 'Martin Hinteregger', 'Massimo Bruno']"
19-2-2015,Guingamp,Dynamo Kyiv,['2'],['1'],"['Jonas Lössl', 'Lars Jacobsen', 'Dorian Leveque', 'Younousse Sankharé', 'Claudio Beauvue', 'Christophe Mandanne', 'Jeremy Sorbon', 'Lionel Mathis', 'Jérémy Pied', 'Sambou Yatabaré', 'Christophe Kerbrat']","['Olexandr Shovkovskiy', 'Danilo Silva', 'Miguel Veloso', 'Antunes', 'Aleksandar Dragović', 'Jeremain Lens', 'Andriy Yarmolenko', 'Serhiy Sydorchuk', 'Serhiy Rybalka', 'Artem Kravets', 'Domagoj Vida']"
19-2-2015,Anderlecht,Dynamo Moscow,['0'],['0'],"['Silvio Proto', ""Fabrice N'Sakala"", 'Olivier Deschacht', 'Andy Najar', 'Rolando', 'Steven Defour', 'Frank Acheampong', 'Youri Tielemans', 'Leander Dendoncker', 'Anthony Vanden Borre', 'Aleksandar Mitrović']","['Vladimir Gabulov', 'Alexander Büttner', 'Christopher Samba', 'William Vainqueur', 'Balázs Dzsudzsák', 'Artur Iusupov', 'Aleksandr Kokorin', 'Mathieu Valbuena', 'Tomáš Hubočan', 'Kevin Kuranyi', 'Aleksei Kozlov']"
19-2-2015,Ajax,Legia,['1'],['0'],"['Jasper Cillessen', 'Ricardo van Rhijn', 'Nicolai Boilesen', 'Mike van der Hoorn', 'Davy Klaassen', 'Ricardo Kishna', 'Arkadiusz Milik', 'Anwar El Ghazi', 'Thulani Serero', 'Nick Viergever', 'Riechedly Bazoer']","['Dušan Kuciak', 'Dossa Júnior', 'Tomasz Jodłowiec', 'Guilherme', 'Michał Masłowski', 'Michał Kucharczyk', 'Ivica Vrdoljak', 'Jakub Rzeźniczak', 'Łukasz Broź', 'Michał Żyro', 'Orlando Sá']"
