date,home_team,away_team,home_score,away_score,home_lineup,away_lineup
7.8.2015,Lille ,Paris S-G ,0,1,"['Vincent Enyeama', 'Ibrahim Amadou', 'Renato Civelli', 'Benjamin Pavard', 'Sébastien Corchia', 'Djibril Sidibé', 'Rio Mavuba', 'Florent Balmont', 'Sofiane Boufal', 'Eric Bauthéac', 'Serhou Guirassy']","['Kevin Trapp', 'Thiago Silva', 'David Luiz', 'Serge Aurier', 'Maxwell', 'Marco Verratti', 'Adrien Rabiot', 'Blaise Matuidi', 'Lucas', 'Javier Pastore', 'Edinson Cavani']"
8.8.2015,Nantes ,Guingamp ,1,0,"['Rémy Riou', 'Koffi Djidji', 'Olivier Veigneau', 'Léo Dubois', 'Valentin Rongier', 'Lucas Deaux', 'Birama Touré', 'Adryan', 'Adrien Thomasson', 'Emiliano Sala', 'Yacine Bammou']","['Jonas Lössl', 'Jérémy Sorbon', 'Christophe Kerbrat', 'Dorian Levêque', 'Lars Jacobsen', 'Lionel Mathis', 'Younousse Sankharé', 'Thibault Giresse', 'Nill De Pauw', 'Nicolas Benezet', 'Yannis Salibur']"
8.8.2015,ESTAC Troyes ,Gazélec Ajaccio ,0,0,"['Paul Bernardoni', 'Matthieu Saunier', 'Mory Koné', 'Jonathan Martins Pereira', 'Jessy Pi', 'Thomas Ayasse', 'Yoann Court', 'Fabien Camus', 'Benjamin Nivet', 'Lossémy Karaboué', 'Corentin Jean']","['Jules Goda', 'Alexandre Coeff', 'Pablo Martinez', 'David Ducourtioux', 'Issiaga Sylla', 'Jérôme Le Moigne', 'Amos Youga', 'Damjan Djokovic', 'Mohamed Larbi', 'John Tshibumbu', 'Grégory Pujol']"
8.8.2015,Montpellier ,Angers ,0,2,"['Geoffrey Jourdren', 'Daniel Congré', 'Mathieu Deplagne', 'Ramy Bensebaini', 'Joris Marveaux', 'Paul Lasne', 'Jonas Martin', 'Bryan Dabo', 'Anthony Mounier', 'Ryad Boudebouz', 'Souleymane Camara']","['Ludovic Butelle', 'Ismaël Traoré', 'Romain Thomas', 'Yoann Andreu', 'Vincent Manceau', 'Romain Saïss', 'Cheikh Ndoye', 'Thomas Mangani', 'Abdoul Camara', 'Billy Ketkeophomphone', 'Gilles Sunu']"
8.8.2015,Nice ,Monaco ,1,2,"['Simon Pouplin', 'Mathieu Bodmer', 'Paul Baysse', 'Maxime Le Marchand', 'Olivier Boscagli', 'Jean-Michaël Seri', 'Nampalys Mendy', 'Vincent Koziello', 'Hatem Ben Arfa', 'Valère Germain', 'Alassane Pléa']","['Danijel Subasic', 'Andrea Raggi', 'Ricardo Carvalho', 'Fabinho', 'Layvin Kurzawa', 'Jérémy Toulalan', 'João Moutinho', 'Nabil Dirar', 'Mario Pasalic', 'Anthony Martial', 'Ivan Cavaleiro']"
8.8.2015,Marseille ,Caen ,0,1,"['Steve Mandanda', 'Karim Rekik', 'Stéphane Sparagna', 'Brice Dja Djédjé', 'Benjamin Mendy', 'Mario Lemina', 'Alaixys Romao', 'Florian Thauvin', 'Romain Alessandrini', 'Abdelaziz Barrada', 'Michy Batshuayi']","['Rémy Vercoutre', 'Alaeddine Yahia', 'Damien Da Silva', 'Emmanuel Imorou', 'Dennis Appiah', 'Jordan Adéoti', 'Jonathan Delaplace', 'Julien Féret', 'Lenny Nangis', 'Vincent Bessat', 'Andy Delort']"
8.8.2015,Bastia ,Rennes ,2,1,"['Jean-Louis Leca', 'Sébastien Squillaci', 'Alexander Djiku', 'François Modesto', 'Julian Palmieri', 'Yannick Cahuzac', 'Seko Fofana', 'Sadio Diallo', 'Floyd Ayité', 'François Kamano', 'Brandão']","['Benoît Costil', 'Mexer', 'Pedro Mendes', 'Sylvain Armand', 'Ludovic Baal', 'Steven Moreira', 'Yacouba Sylla', 'Abdoulaye Doucouré', 'Gelson Fernandes', 'Pedro Henrique', 'Giovanni Sio']"
9.8.2015,Bordeaux ,Reims ,1,2,"['Cédric Carrasso', 'Nicolas Pallois', 'Frédéric Guilbert', 'Maxime Poundjé', 'Grégory Sertic', 'Clément Chantôme', 'André Poko', 'Thomas Touré', 'Wahbi Khazri', 'Henri Saivet', 'Cheick Diabaté']","['Kossi Agassa', 'Anthony Weber', 'Aissa Mandi', 'Hamari Traoré', 'Franck Signorino', 'Alexi Peuget', 'Antoine Devaux', 'Prince Oniangué', 'Frédéric Bulot', ""David N'Gog"", 'Nicolas de Préville']"
9.8.2015,Toulouse FC ,Saint-Etienne ,2,1,"['Mauro Goicoechea', 'Uros Spajic', 'Jean-Armel Kana-Biyik', 'Marcel Tisserand', 'William Matheus', 'Tongo Doumbia', 'Etienne Didot', 'Jean-Daniel Akpa Akpro', 'Adrien Regattin', 'Martin Braithwaite', 'Wissam Ben Yedder']","['Stéphane Ruffier', 'Loïc Perrin', 'K. Théophile-Catherine', 'Florentin Pogba', 'François Clerc', 'Benoît Assou-Ekotto', 'Fabien Lemoine', 'Jérémy Clément', 'Jonathan Bamba', 'Kevin Monnet-Paquet', 'Romain Hamouma']"
9.8.2015,Lyon ,Lorient ,0,0,"['Anthony Lopes', 'Milan Bisevac', 'Samuel Umtiti', 'Rafael', 'Henri Bédimo', 'Jordan Ferri', 'Corentin Tolisso', 'Steed Malbranque', 'Claudio Beauvue', 'Alexandre Lacazette', 'Nabil Fekir']","['Benjamin Lecomte', 'Wesley Lautoa', 'Raphaël Guerreiro', 'Lamine Gassama', 'Vincent Le Goff', 'François Bellugou', 'Walid Mesloub', 'Mehdi Mostefa', 'Benjamin Jeannot', 'Benjamin Moukandjo', 'Denis Bouanga']"
